public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,divyield_Median,pe_exi_Median,ptb_Median,gpm_Median,roa_Median,roe_Median
20100930,Information Technology,716,0.152288,0.125627,0.000,0.542,1.72%,13.596,1.994,0.498,0.097,0.053
20100930,Materials,192,0.105011,0.086661,0.117,0.592,1.97%,13.434,1.747,0.261,0.125,0.090
20100930,Telecommunication Services,49,0.123579,0.083973,0.228,0.533,6.17%,9.986,1.935,0.582,0.146,0.033
20100930,Utilities,102,0.036912,0.032378,0.615,0.969,4.31%,14.527,1.138,0.259,0.090,0.069
20101031,Consumer Discretionary,567,0.031893,0.050603,0.000,0.616,1.94%,12.411,1.686,0.366,0.131,0.087
20101031,Consumer Staples,165,0.026199,0.029380,0.150,0.591,2.49%,13.348,1.727,0.354,0.154,0.127
20101031,Energy,212,0.052080,0.050052,0.000,0.763,1.10%,9.045,1.486,0.405,0.110,0.043
20101031,Financials,755,0.020641,0.012987,0.429,1.172,2.43%,9.568,0.884,0.454,0.016,0.040
20101031,Health Care,571,0.030213,0.020282,0.000,0.425,1.87%,-1.446,2.550,0.414,0.059,0.001
20101031,Industrials,543,0.059129,0.034676,0.042,0.676,1.59%,15.125,1.645,0.294,0.112,0.072
20101031,Information Technology,712,0.066078,0.062967,0.000,0.547,1.71%,14.123,2.111,0.500,0.097,0.054
20101031,Materials,193,0.119301,0.080446,0.110,0.597,1.95%,13.761,1.855,0.261,0.123,0.090
20101031,Telecommunication Services,48,0.039487,0.009037,0.228,0.533,5.97%,10.332,1.963,0.581,0.148,0.034
20101031,Utilities,102,0.021554,0.014970,0.615,0.969,4.23%,14.661,1.171,0.263,0.090,0.069
20101130,Consumer Discretionary,565,0.043787,0.040676,0.000,0.592,1.88%,13.020,1.765,0.368,0.133,0.095
20101130,Consumer Staples,164,0.006390,-0.008939,0.143,0.591,2.39%,13.487,1.668,0.349,0.151,0.124
20101130,Energy,210,0.098072,0.058179,0.000,0.710,.972%,10.552,1.635,0.414,0.113,0.045
20101130,Financials,752,-0.004278,-0.004780,0.434,1.182,2.48%,10.465,0.864,0.492,0.016,0.043
20101130,Health Care,566,0.006583,-0.021863,0.000,0.410,1.80%,-1.551,2.430,0.417,0.063,-0.002
20101130,Industrials,539,0.030026,0.018632,0.039,0.666,1.62%,16.000,1.608,0.289,0.117,0.075
20101130,Information Technology,706,0.023476,-0.007217,0.000,0.515,1.66%,13.607,2.114,0.500,0.101,0.066
20101130,Materials,194,0.039064,0.012599,0.105,0.597,1.88%,14.000,1.882,0.264,0.129,0.091
20101130,Telecommunication Services,49,0.034727,-0.016242,0.000,0.514,6.09%,13.064,1.908,0.580,0.147,0.033
20101130,Utilities,102,-0.006242,-0.023403,0.594,0.905,4.33%,13.746,1.112,0.269,0.093,0.072
20101231,Consumer Discretionary,566,0.065258,0.038833,0.000,0.581,1.73%,14.063,1.869,0.369,0.133,0.097
20101231,Consumer Staples,164,0.050416,0.039543,0.164,0.585,2.41%,14.070,1.826,0.354,0.147,0.125
20101231,Energy,208,0.101108,0.091147,0.000,0.712,.889%,10.911,1.752,0.412,0.115,0.044
20101231,Financials,749,0.085198,0.116113,0.427,1.179,2.25%,11.157,0.964,0.489,0.016,0.044
20101231,Health Care,561,0.109570,0.054959,0.000,0.408,1.65%,-2.007,2.602,0.417,0.064,0.002
20101231,Industrials,537,0.090933,0.077150,0.058,0.655,1.52%,17.604,1.744,0.289,0.117,0.078
20101231,Information Technology,693,0.073553,0.056356,0.000,0.509,1.64%,14.744,2.299,0.498,0.103,0.069
20101231,Materials,194,0.124724,0.100244,0.106,0.599,1.73%,14.947,2.079,0.264,0.128,0.091
20101231,Telecommunication Services,49,0.055153,0.074122,0.000,0.521,5.72%,13.127,1.981,0.580,0.147,0.033
20101231,Utilities,101,0.039028,0.032043,0.592,0.905,4.28%,14.189,1.116,0.269,0.093,0.072
20110131,Consumer Discretionary,565,-0.002814,-0.010108,0.000,0.583,1.78%,14.018,1.815,0.368,0.134,0.097
20110131,Consumer Staples,166,-0.020538,-0.012021,0.164,0.575,2.49%,13.543,1.788,0.354,0.147,0.126
20110131,Energy,209,0.075599,0.071417,0.000,0.710,.802%,11.592,1.892,0.414,0.114,0.041
20110131,Financials,745,0.030561,0.019538,0.426,1.172,2.29%,11.011,0.946,0.491,0.016,0.046
20110131,Health Care,562,0.019620,0.006538,0.000,0.408,1.57%,-2.141,2.679,0.414,0.065,0.009
20110131,Industrials,535,0.012828,0.034914,0.066,0.650,1.53%,17.857,1.755,0.288,0.117,0.077
20110131,Information Technology,691,0.038358,0.041170,0.000,0.506,1.59%,15.244,2.362,0.498,0.103,0.070
20110131,Materials,192,-0.001860,-0.003277,0.108,0.591,1.70%,14.711,2.109,0.264,0.129,0.092
20110131,Telecommunication Services,48,0.015836,-0.023334,0.000,0.529,5.85%,13.727,1.909,0.577,0.146,0.031
20110131,Utilities,99,0.012203,0.015104,0.592,0.905,4.20%,14.636,1.135,0.269,0.094,0.073
20110228,Consumer Discretionary,564,0.048931,0.049910,0.000,0.551,1.72%,14.830,1.874,0.368,0.136,0.102
20110228,Consumer Staples,165,0.030974,0.020407,0.175,0.549,2.39%,15.157,1.836,0.353,0.141,0.126
20110228,Energy,207,0.102495,0.075050,0.000,0.587,.782%,13.745,2.028,0.445,0.117,0.049
