None,region_id,region_type,region
33947,730,county,"Stark County;OH;Canton-Massillon, OH"
33948,73,county,"Gem County;ID;Boise City, ID"
33998,729,county,"Stark County;ND;Dickinson, ND"
34081,728,county,"Stark County;IL;Peoria, IL"
34132,727,county,Spink County;SD;nan
34203,726,county,Smyth County;VA;nan
34255,725,county,"Smith County;TX;Tyler, TX"
34326,724,county,"Smith County;TN;Nashville-Davidson--Murfreesboro--Franklin, TN"
34404,723,county,Smith County;MS;nan
34460,722,county,Smith County;KS;nan
34590,720,county,Sitka Borough;AK;nan
34591,72,county,"Elk County;PA;St. Marys, PA"
34667,719,county,"Sioux County;NE;Scottsbluff, NE"
34802,717,county,Sioux County;IA;nan
34890,716,county,"Sharp County;AR;Batesville, AR"
34973,715,county,"Scott County;VA;Kingsport-Bristol, TN-VA"
35036,714,county,Scott County;TN;nan
35119,713,county,Scott County;MS;nan
35208,712,county,"Scott County;MO;Sikeston, MO"
35294,711,county,"Scott County;MN;Minneapolis-St. Paul-Bloomington, MN-WI"
35354,710,county,"Scott County;KY;Lexington-Fayette, KY"
35355,71,county,Elk County;KS;nan
35437,709,county,Scott County;KS;nan
35513,708,county,"Scott County;IN;Scottsburg, IN"
35590,707,county,"Scott County;IL;Jacksonville, IL"
35669,706,county,"Scott County;IA;Davenport-Moline-Rock Island, IA-IL"
35751,705,county,Scott County;AR;nan
35833,704,county,"Sarpy County;NE;Omaha-Council Bluffs, NE-IA"
35900,703,county,"Salem City;VA;Roanoke, VA"
35987,702,county,"Salem County;NJ;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
36075,701,county,"Rowan County;NC;Charlotte-Concord-Gastonia, NC-SC"
36164,700,county,Rowan County;KY;nan
36165,70,county,Day County;SD;nan
36257,699,county,"Routt County;CO;Steamboat Springs, CO"
36280,698720,county,Petersburg Borough;AK;nan
36336,698,county,Rooks County;KS;nan
36415,697,county,Roane County;WV;nan
36508,696,county,"Roane County;TN;Knoxville, TN"
36597,695,county,"Riley County;KS;Manhattan, KS"
36660,694,county,"Ralls County;MO;Hannibal, MO"
36728,693,county,Rains County;TX;nan
36794,692,county,Rabun County;GA;nan
36890,691,county,Price County;WI;nan
36982,690,county,Pratt County;KS;nan
36983,69,county,"Bee County;TX;Beeville, TX"
37080,689,county,"Power County;ID;Pocatello, ID"
37168,688,county,"Posey County;IN;Evansville, IN-KY"
37375,685,county,"Pinal County;AZ;Phoenix-Mesa-Chandler, AZ"
37473,684,county,"Piatt County;IL;Champaign-Urbana, IL"
37542,683,county,Perry County;TN;nan
37626,682,county,"Perry County;PA;Harrisburg-Carlisle, PA"
37719,681,county,"Perry County;OH;Columbus, OH"
37811,680,county,"Perry County;MS;Hattiesburg, MS"
37812,68,county,"Bay County;MI;Bay City, MI"
37877,679,county,Perry County;MO;nan
37968,678,county,Perry County;KY;nan
38031,677,county,Perry County;IN;nan
38093,676,county,Perry County;IL;nan
38179,675,county,"Perry County;AR;Little Rock-North Little Rock-Conway, AR"
38267,674,county,Perry County;AL;nan
38353,673,county,Pepin County;WI;nan
38415,672,county,Pecos County;TX;nan
38480,671,county,"Peach County;GA;Warner Robins, GA"
38567,670,county,"Payne County;OK;Stillwater, OK"
38568,67,county,"Bay County;FL;Panama City, FL"
38661,669,county,"Pasco County;FL;Tampa-St. Petersburg-Clearwater, FL"
38733,668,county,"Parke County;IN;Terre Haute, IN"
38888,666,county,Ozark County;MO;nan
38975,665,county,"Ouray County;CO;Montrose, CO"
38984,664,county,"Otero County;NM;Alamogordo, NM"
38989,663,county,Otero County;CO;nan
39040,662,county,"Osage County;OK;Tulsa, OK"
39089,661,county,"Osage County;MO;Jefferson City, MO"
39157,660,county,"Osage County;KS;Topeka, KS"
39158,66,county,"Ada County;ID;Boise City, ID"
39227,659,county,"Ocean County;NJ;New York-Newark-Jersey City, NY-NJ-PA"
39284,658,county,"Obion County;TN;Union City, TN"
39371,657,county,"Nolan County;TX;Sweetwater, TX"
39465,656,county,Noble County;OK;nan
39544,655,county,Noble County;OH;nan
39640,654,county,"Noble County;IN;Kendallville, IN"
39731,653,county,Nance County;NE;nan
39818,652,county,"Mower County;MN;Austin, MN"
39900,651,county,"Moore County;TX;Dumas, TX"
39995,650,county,"Moore County;TN;Tullahoma-Manchester, TN"
40083,649,county,"Moore County;NC;Pinehurst-Southern Pines, NC"
40183,648,county,Moody County;SD;nan
40277,647,county,Modoc County;CA;nan
40355,646,county,Mingo County;WV;nan
40451,645,county,Miner County;SD;nan
40541,644,county,Mills County;TX;nan
40635,643,county,"Mills County;IA;Omaha-Council Bluffs, NE-IA"
40731,642,county,Milam County;TX;nan
40833,641,county,"Miami County;OH;Dayton-Kettering, OH"
40916,640,county,"Miami County;KS;Kansas City, MO-KS"
40988,639,county,"Miami County;IN;Peru, IN"
41086,638,county,Meigs County;TN;nan
41180,637,county,Meigs County;OH;nan
41259,636,county,"Meade County;SD;Rapid City, SD"
41352,635,county,"Meade County;KY;Elizabethtown-Fort Knox, KY"
41437,634,county,Meade County;KS;nan
41533,633,county,Mayes County;OK;nan
41621,632,county,"Maury County;TN;Nashville-Davidson--Murfreesboro--Franklin, TN"
41713,631,county,"Mason County;WV;Point Pleasant, WV-OH"
41802,630,county,"Mason County;WA;Shelton, WA"
41900,629,county,Mason County;TX;nan
42002,628,county,"Mason County;MI;Ludington, MI"
42107,627,county,"Mason County;KY;Maysville, KY"
42198,626,county,Mason County;IL;nan
42280,625,county,"Marin County;CA;San Francisco-Oakland-Berkeley, CA"
42360,624,county,Major County;OK;nan
42535,623,county,"Macon County;TN;Nashville-Davidson--Murfreesboro--Franklin, TN"
42626,622,county,Macon County;NC;nan
42708,621,county,Macon County;MO;nan
42784,620,county,"Macon County;IL;Decatur, IL"
42869,619,county,Macon County;GA;nan
42965,618,county,Macon County;AL;nan
43041,616,county,"Lucas County;OH;Toledo, OH"
43047,615,county,Lucas County;IA;nan
43062,613,county,"Logan County;WV;Mount Gay-Shamrock, WV"
43104,612,county,"Logan County;OK;Oklahoma City, OK"
43186,611,county,"Logan County;OH;Bellefontaine, OH"
43278,610,county,"Logan County;NE;North Platte, NE"
43379,609,county,Logan County;ND;nan
43458,608,county,Logan County;KY;nan
43548,607,county,Logan County;KS;nan
43625,606,county,"Logan County;IL;Lincoln, IL"
43715,605,county,"Logan County;CO;Sterling, CO"
43785,604,county,Logan County;AR;nan
43857,603,county,Llano County;TX;nan
43943,602,county,Lewis County;WV;nan
44005,601,county,"Lewis County;WA;Centralia, WA"
44098,600,county,Lewis County;TN;nan
44185,599,county,Lewis County;NY;nan
44274,598,county,"Lewis County;MO;Quincy, IL-MO"
44368,597,county,Lewis County;KY;nan
44455,596,county,Lewis County;ID;nan
44544,595,county,Lemhi County;ID;nan
44628,594,county,Leake County;MS;nan
44710,593,county,"Latah County;ID;Moscow, ID"
44800,592,county,"Larue County;KY;Elizabethtown-Fort Knox, KY"
44979,590,county,"Lamar County;TX;Paris, TX"
45074,589,county,"Lamar County;MS;Hattiesburg, MS"
45163,588,county,"Lamar County;GA;Atlanta-Sandy Springs-Alpharetta, GA"
45228,587,county,Lamar County;AL;nan
45376,585,county,Knott County;KY;nan
45461,584,county,Kiowa County;OK;nan
45553,583,county,Kiowa County;KS;nan
45637,582,county,Kiowa County;CO;nan
45654,581,county,"Kings County;NY;New York-Newark-Jersey City, NY-NJ-PA"
45682,580,county,"Kings County;CA;Hanford-Corcoran, CA"
45688,579,county,Keith County;NE;nan
45693,578,county,"Kauai County;HI;Kapaa, HI"
45700,577,county,"Jones County;TX;Abilene, TX"
45708,575,county,"Jones County;NC;New Bern, NC"
45714,574,county,"Jones County;MS;Laurel, MS"
45742,573,county,"Jones County;IA;Cedar Rapids, IA"
45790,572,county,"Jones County;GA;Macon-Bibb County, GA"
45858,571,county,Izard County;AR;nan
45910,570,county,Irwin County;GA;nan
45965,569,county,"Irion County;TX;San Angelo, TX"
46009,568,county,Iosco County;MI;nan
46059,567,county,"Ionia County;MI;Grand Rapids-Kentwood, MI"
46113,566,county,Idaho County;ID;nan
46150,565,county,"Huron County;OH;Norwalk, OH"
46197,564,county,Huron County;MI;nan
46246,563,county,"Horry County;SC;Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
46311,562,county,"Hinds County;MS;Jackson, MS"
46368,561,county,"Henry County;VA;Martinsville, VA"
46428,560,county,"Henry County;TN;Paris, TN"
46485,559,county,Henry County;OH;nan
46531,558,county,Henry County;MO;nan
46583,557,county,"Henry County;KY;Louisville/Jefferson County, KY-IN"
46633,556,county,"Henry County;IN;New Castle, IN"
46671,555,county,"Henry County;IL;Davenport-Moline-Rock Island, IA-IL"
46727,554,county,Henry County;IA;nan
46781,553,county,"Henry County;GA;Atlanta-Sandy Springs-Alpharetta, GA"
46842,552,county,"Henry County;AL;Dothan, AL"
46896,551,county,"Heard County;GA;Atlanta-Sandy Springs-Alpharetta, GA"
46954,550,county,Hayes County;NE;nan
46993,549,county,Hardy County;WV;nan
47005,548,county,"Gregg County;TX;Longview, TX"
47065,547,county,Greer County;OK;nan
47124,546,county,"Green County;WI;Madison, WI"
47178,545,county,"Green County;KY;Campbellsville, KY"
47229,544,county,Grant County;WV;nan
47289,543,county,"Grant County;WI;Platteville, WI"
47350,542,county,"Grant County;WA;Moses Lake, WA"
47397,541,county,Grant County;SD;nan
47456,540,county,Grant County;OR;nan
47521,539,county,Grant County;OK;nan
47572,538,county,"Grant County;NM;Silver City, NM"
47629,537,county,Grant County;NE;nan
47732,535,county,Grant County;MN;nan
47792,534,county,"Grant Parish;LA;Alexandria, LA"
47851,533,county,"Grant County;KY;Cincinnati, OH-KY-IN"
47895,532,county,Grant County;KS;nan
47958,531,county,"Grant County;IN;Marion, IN"
48006,530,county,"Grant County;AR;Little Rock-North Little Rock-Conway, AR"
48066,529,county,Grand County;UT;nan
48122,528,county,Grand County;CO;nan
48168,527,county,"Grady County;OK;Oklahoma City, OK"
48225,526,county,Grady County;GA;nan
48286,525,county,"Glynn County;GA;Brunswick, GA"
48344,524,county,Glenn County;CA;nan
48401,523,county,"Giles County;VA;Blacksburg-Christiansburg, VA"
48452,522,county,Giles County;TN;nan
48509,521,county,"Geary County;KS;Manhattan, KS"
48556,520,county,"Gates County;NC;Virginia Beach-Norfolk-Newport News, VA-NC"
48604,519,county,Garza County;TX;nan
48660,518,county,Foard County;TX;nan
48711,517,county,Floyd County;VA;nan
48759,516,county,Floyd County;TX;nan
48814,515,county,Floyd County;KY;nan
48863,514,county,"Floyd County;IN;Louisville/Jefferson County, KY-IN"
48917,513,county,Floyd County;IA;nan
48975,512,county,"Floyd County;GA;Rome, GA"
49042,511,county,Ferry County;WA;nan
49143,509,county,"Falls County;TX;Waco, TX"
49194,508,county,Evans County;GA;nan
49253,507,county,Essex County;VT;nan
49305,506,county,Essex County;VA;nan
49360,505,county,Essex County;NY;nan
49416,504,county,"Essex County;NJ;New York-Newark-Jersey City, NY-NJ-PA"
49477,503,county,"Essex County;MA;Boston-Cambridge-Newton, MA-NH"
49532,502,county,"Erath County;TX;Stephenville, TX"
49586,501,county,Emmet County;MI;nan
49640,500,county,Emmet County;IA;nan
49693,499,county,Emery County;UT;nan
49731,498,county,"Ellis County;TX;Dallas-Fort Worth-Arlington, TX"
49781,497,county,"Ellis County;OK;Woodward, OK"
49842,496,county,"Ellis County;KS;Hays, KS"
49895,495,county,Edgar County;IL;nan
49949,494,county,"Ector County;TX;Odessa, TX"
50003,493,county,"Eaton County;MI;Lansing-East Lansing, MI"
50054,492,county,Early County;GA;nan
50106,491,county,"Eagle County;CO;Edwards, CO"
50164,490,county,"Duval County;TX;Alice, TX"
50221,489,county,"Duval County;FL;Jacksonville, FL"
50274,488,county,Dundy County;NE;nan
50332,487,county,"Dukes County;MA;Vineyard Haven, MA"
50383,486,county,Dooly County;GA;nan
50437,485,county,"Dodge County;WI;Beaver Dam, WI"
50485,484,county,"Dodge County;NE;Fremont, NE"
50553,483,county,"Dodge County;MN;Rochester, MN"
50591,482,county,Dodge County;GA;nan
50605,481,county,"Dixon County;NE;Sioux City, IA-NE-SD"
50653,480,county,Dixie County;FL;nan
50766,478,county,Dewey County;OK;nan
50817,477,county,Deuel County;SD;nan
50867,476,county,Deuel County;NE;nan
50930,475,county,Desha County;AR;nan
50996,474,county,Delta County;TX;nan
51042,473,county,"Delta County;MI;Escanaba, MI"
51084,472,county,Delta County;CO;nan
51142,471,county,Dawes County;NE;nan
51196,470,county,"Davis County;UT;Ogden-Clearfield, UT"
51250,469,county,Davis County;IA;nan
51298,468,county,"Davie County;NC;Winston-Salem, NC"
51348,467,county,"Darke County;OH;Greenville, OH"
51400,466,county,"Curry County;OR;Brookings, OR"
